note_id,frequency_hz,wavelength_cm,note,octave,note2
C0,16.35,2109.89,C,0,C
 C#0/Db0 ,17.32,1991.47,C-D,0,C#/Db
D0,18.35,1879.69,D,0,D
 D#0/Eb0 ,19.45,1774.2,D-E,0,D#/Eb
E0,20.6,1674.62,E,0,E
F0,21.83,1580.63,F,0,F
 F#0/Gb0 ,23.12,1491.91,F-G,0,F#/Gb
G0,24.5,1408.18,G,0,G
 G#0/Ab0 ,25.96,1329.14,G-A,0,G#/Ab
A0,27.5,1254.55,A,0,A
 A#0/Bb0 ,29.14,1184.13,A-B,0,A#/Bb
B0,30.87,1117.67,B,0,B
C1,32.7,1054.94,C,1,C
 C#1/Db1 ,34.65,995.73,C-D,1,C#/Db
D1,36.71,939.85,D,1,D
 D#1/Eb1 ,38.89,887.1,D-E,1,D#/Eb
E1,41.2,837.31,E,1,E
F1,43.65,790.31,F,1,F
 F#1/Gb1 ,46.25,745.96,F-G,1,F#/Gb
G1,49,704.09,G,1,G
 G#1/Ab1 ,51.91,664.57,G-A,1,G#/Ab
A1,55,627.27,A,1,A
 A#1/Bb1 ,58.27,592.07,A-B,1,A#/Bb
B1,61.74,558.84,B,1,B
C2,65.41,527.47,C,2,C
 C#2/Db2 ,69.3,497.87,C-D,2,C#/Db
D2,73.42,469.92,D,2,D
 D#2/Eb2 ,77.78,443.55,D-E,2,D#/Eb
E2,82.41,418.65,E,2,E
F2,87.31,395.16,F,2,F
 F#2/Gb2 ,92.5,372.98,F-G,2,F#/Gb
G2,98,352.04,G,2,G
 G#2/Ab2 ,103.83,332.29,G-A,2,G#/Ab
A2,110,313.64,A,2,A
 A#2/Bb2 ,116.54,296.03,A-B,2,A#/Bb
B2,123.47,279.42,B,2,B
C3,130.81,263.74,C,3,C
 C#3/Db3 ,138.59,248.93,C-D,3,C#/Db
D3,146.83,234.96,D,3,D
 D#3/Eb3 ,155.56,221.77,D-E,3,D#/Eb
E3,164.81,209.33,E,3,E
F3,174.61,197.58,F,3,F
 F#3/Gb3 ,185,186.49,F-G,3,F#/Gb
G3,196,176.02,G,3,G
 G#3/Ab3 ,207.65,166.14,G-A,3,G#/Ab
A3,220,156.82,A,3,A
 A#3/Bb3 ,233.08,148.02,A-B,3,A#/Bb
B3,246.94,139.71,B,4,B
C4,261.63,131.87,C,4,C
 C#4/Db4 ,277.18,124.47,C-D,4,C#/Db
D4,293.66,117.48,D,4,D
 D#4/Eb4 ,311.13,110.89,D-E,4,D#/Eb
E4,329.63,104.66,E,4,E
F4,349.23,98.79,F,4,F
 F#4/Gb4 ,369.99,93.24,F-G,4,F#/Gb
G4,392,88.01,G,4,G
 G#4/Ab4 ,415.3,83.07,G-A,4,G#/Ab
A4,440,78.41,A,4,A
 A#4/Bb4 ,466.16,74.01,A-B,4,A#/Bb
B4,493.88,69.85,B,4,B
C5,523.25,65.93,C,5,C
 C#5/Db5 ,554.37,62.23,C-D,5,C#/Db
D5,587.33,58.74,D,5,D
 D#5/Eb5 ,622.25,55.44,D-E,5,D#/Eb
E5,659.25,52.33,E,5,E
F5,698.46,49.39,F,5,F
 F#5/Gb5 ,739.99,46.62,F-G,5,F#/Gb
G5,783.99,44.01,G,5,G
 G#5/Ab5 ,830.61,41.54,G-A,5,G#/Ab
A5,880,39.2,A,5,A
 A#5/Bb5 ,932.33,37,A-B,5,A#/Bb
B5,987.77,34.93,B,5,B
C6,1046.5,32.97,C,6,C
 C#6/Db6 ,1108.73,31.12,C-D,6,C#/Db
D6,1174.66,29.37,D,6,D
 D#6/Eb6 ,1244.51,27.72,D-E,6,D#/Eb
E6,1318.51,26.17,E,6,E
F6,1396.91,24.7,F,6,F
 F#6/Gb6 ,1479.98,23.31,F-G,6,F#/Gb
G6,1567.98,22,G,6,G
 G#6/Ab6 ,1661.22,20.77,G-A,6,G#/Ab
A6,1760,19.6,A,6,A
 A#6/Bb6 ,1864.66,18.5,A-B,6,A#/Bb
B6,1975.53,17.46,B,6,B
C7,2093,16.48,C,7,C
 C#7/Db7 ,2217.46,15.56,C-D,7,C#/Db
D7,2349.32,14.69,D,7,D
 D#7/Eb7 ,2489.02,13.86,D-E,7,D#/Eb
E7,2637.02,13.08,E,7,E
F7,2793.83,12.35,F,7,F
 F#7/Gb7 ,2959.96,11.66,F-G,7,F#/Gb
G7,3135.96,11,G,7,G
 G#7/Ab7 ,3322.44,10.38,G-A,7,G#/Ab
A7,3520,9.8,A,7,A
 A#7/Bb7 ,3729.31,9.25,A-B,7,A#/Bb
B7,3951.07,8.73,B,7,B
C8,4186.01,8.24,C,8,C
 C#8/Db8 ,4434.92,7.78,C-D,8,C#/Db
D8,4698.63,7.34,D,8,D
 D#8/Eb8 ,4978.03,6.93,D-E,8,D#/Eb
E8,5274.04,6.54,E,8,E
F8,5587.65,6.17,F,8,F
 F#8/Gb8 ,5919.91,5.83,F-G,8,F#/Gb
G8,6271.93,5.5,G,8,G
 G#8/Ab8 ,6644.88,5.19,G-A,8,G#/Ab
A8,7040,4.9,A,8,A
 A#8/Bb8 ,7458.62,4.63,A-B,8,A#/Bb
B8,7902.13,4.37,B,8,B
